TOA5,LVDT 데이터_스무딩
2025-05-30 10:10,-0.229136965
2025-05-30 10:15,-0.231170694
2025-05-30 10:20,-0.239096345
2025-05-30 10:25,-0.245871771
2025-05-30 10:30,-0.264664316
2025-05-30 10:35,-0.26432407
2025-05-30 10:40,-0.270004812
2025-05-30 10:45,-0.267644217
2025-05-30 10:50,-0.271124003
2025-05-30 10:55,-0.27082272
2025-05-30 11:00,-0.269423462
2025-05-30 11:05,-0.263600308
2025-05-30 11:10,-0.254814279
2025-05-30 11:15,-0.250337155
2025-05-30 11:20,-0.239206199
2025-05-30 11:25,-0.233271396
2025-05-30 11:30,-0.225962065
2025-05-30 11:35,-0.219884888
2025-05-30 11:40,-0.219272267
2025-05-30 11:45,-0.213036199
2025-05-30 11:50,-0.200163094
2025-05-30 11:55,-0.194006135
2025-05-30 12:00,-0.189103108
2025-05-30 12:05,-0.180677908
2025-05-30 12:10,-0.182645461
2025-05-30 12:15,-0.175555309
2025-05-30 12:20,-0.176811269
2025-05-30 12:25,-0.167890903
2025-05-30 12:30,-0.156280615
2025-05-30 12:35,-0.148989889
2025-05-30 12:40,-0.148148497
2025-05-30 12:45,-0.140984206
2025-05-30 12:50,-0.132780731
2025-05-30 12:55,-0.126040053
2025-05-30 13:00,-0.123730034
2025-05-30 13:05,-0.1192043
2025-05-30 13:10,-0.109978491
2025-05-30 13:15,-0.098954829
2025-05-30 13:20,-0.090953926
2025-05-30 13:25,-0.082877634
2025-05-30 13:30,-0.075523675
2025-05-30 13:35,-0.073082374
2025-05-30 13:40,-0.066032741
2025-05-30 13:45,-0.059050053
2025-05-30 13:50,-0.05084792
2025-05-30 13:55,-0.036548423
2025-05-30 14:00,-0.032522288
2025-05-30 14:05,-0.032380627
2025-05-30 14:10,-0.02038038
2025-05-30 14:15,-0.007440357
2025-05-30 14:20,0.002507528
2025-05-30 14:25,0.010927864631122098
2025-05-30 14:30,0.016697963
2025-05-30 14:35,0.025123781310167077
2025-05-30 14:40,0.032733981165103204
2025-05-30 14:45,0.040729688
2025-05-30 14:50,0.047460808
2025-05-30 14:55,0.054699201
2025-05-30 15:00,0.058684030538969784
2025-05-30 15:05,0.064371399
2025-05-30 15:10,0.076275524
2025-05-30 15:15,0.084461793
2025-05-30 15:20,0.092720958
2025-05-30 15:25,0.099917192
2025-05-30 15:30,0.10315663896485605
2025-05-30 15:35,0.11144132374401268
2025-05-30 15:40,0.12094670535013341
2025-05-30 15:45,0.12722455643621222
2025-05-30 15:50,0.12949533497037607
2025-05-30 15:55,0.12982169187791143
2025-05-30 16:00,0.14165728417500392
2025-05-30 16:05,0.1474228879198438
2025-05-30 16:10,0.14858109985754228
2025-05-30 16:15,0.1517377155191081
2025-05-30 16:20,0.15483366394890222
2025-05-30 16:25,0.16205472488994704
2025-05-30 16:30,0.16516955481954154
2025-05-30 16:35,0.1651890742472125
2025-05-30 16:40,0.16693516439020722
2025-05-30 16:45,0.17016858773254107
2025-05-30 16:50,0.17033248567573342
2025-05-30 16:55,0.17166963201172605
2025-05-30 17:00,0.1680142179266287
2025-05-30 17:05,0.16757319712551955
2025-05-30 17:10,0.1667388719454288
2025-05-30 17:15,0.16606105464913612
2025-05-30 17:20,0.1637783011310661
2025-05-30 17:25,0.15825001237986153
2025-05-30 17:30,0.16148928485079755
2025-05-30 17:35,0.1602403036419972
2025-05-30 17:40,0.16259922691296483
2025-05-30 17:45,0.1580804167795248
2025-05-30 17:50,0.16204025353989945
2025-05-30 17:55,0.16183872659108808
2025-05-30 18:00,0.15492692084740767
2025-05-30 18:05,0.15926716069663485
2025-05-30 18:10,0.1609694988916192
2025-05-30 18:15,0.16511765254193525
2025-05-30 18:20,0.16415985190750298
2025-05-30 18:25,0.15954810529594912
2025-05-30 18:30,0.1571364116994053
2025-05-30 18:35,0.15674493080374294
2025-05-30 18:40,0.16007822044338618
2025-05-30 18:45,0.16319719836059499
2025-05-30 18:50,0.1670658026967563
2025-05-30 18:55,0.18209519107248542
2025-05-30 19:00,0.18235914465230943
2025-05-30 19:05,0.18727612664176999
2025-05-30 19:10,0.18596659763061654
2025-05-30 19:15,0.18962762489839144
2025-05-30 19:20,0.19026593144749285
2025-05-30 19:25,0.188656833
2025-05-30 19:30,0.19073854278629662
2025-05-30 19:35,0.19213175103916055
2025-05-30 19:40,0.19312432019898912
2025-05-30 19:45,0.19006203921360937
2025-05-30 19:50,0.19036138468213673
2025-05-30 19:55,0.1902580840608125
2025-05-30 20:00,0.19092384189873218
2025-05-30 20:05,0.19509418903053222
2025-05-30 20:10,0.1980897614033032
2025-05-30 20:15,0.1918612171896592
2025-05-30 20:20,0.18917289884326172
2025-05-30 20:25,0.19008647563783432
2025-05-30 20:30,0.18101106906805212
2025-05-30 20:35,0.18091504198961614
2025-05-30 20:40,0.18076936431505256
2025-05-30 20:45,0.18770853396017162
2025-05-30 20:50,0.18459649168798362
2025-05-30 20:55,0.18456788105993052
